mass_A
t	x	y	v
0.0	-0.006049127445248992	0.2981982324214675	NaN
0.03332222222222231	-0.005515991078703875	0.29670129953322444	0.08557662541679324
0.06665555555555557	-0.0019346266304349213	0.2942474988262148	0.2939785629911538
0.09998888888888904	0.0115766529179821	0.28711241810220245	0.4714281887610601
0.13331111111111135	0.025260497989090913	0.278504263082497	0.5456647934623156
0.16663333333333344	0.041789444409383814	0.26687288289894173	0.6435245699278329
0.1999666666666667	0.059715501535564486	0.2529545114680182	0.7793330112250494
0.23330000000000017	0.08427373527300941	0.23696531610512805	0.948580406301243
0.26662222222222226	0.11414161290946417	0.22077380520926704	1.0604599298068529
0.29995555555555553	0.14528055941412954	0.20126358241603903	1.1498993702988918
0.33327777777777784	0.18237772565938543	0.1858650193917678	1.2533203026253157
0.3666111111111111	0.22230646478561605	0.168920597700984	1.3446809506100803
0.39994444444444455	0.2654373667585525	0.15213975925498446	1.4199261492638788
0.43326666666666686	0.3112653266475776	0.13660682605166163	1.4809478885338272
0.4665999999999999	0.3607974095758027	0.12662900829969814	1.520775831845109
0.4999222222222222	0.41218064643071867	0.12703594946411256	1.5054934060259324
0.5332555555555557	0.4604719101695279	0.1382486448677549	1.4474625479920402
0.566577777777778	0.5053127209687556	0.1522367659573428	1.370155916357107
0.5999111111111111	0.5474543364272784	0.16608662484333525	1.2884485667502574
0.6332444444444445	0.5889250991921777	0.1719139389612797	1.2305846373444924
0.6665666666666669	0.6291930038368574	0.17293794052901534	1.227773007758012
0.6999222222222222	0.6707859680287107	0.1710742023083046	1.2486168736815022
0.7332222222222224	0.7123140696839578	0.16873510974612926	1.2491983425714022
0.7665555555555557	0.7540190588118956	0.17014749389014594	1.2505175710578578
0.7998777777777777	0.7956183421065091	0.17161227529956968	1.226484733767027
0.8332111111111112	0.8355122366563899	0.17664787488043365	1.187479868858231
0.8665444444444447	0.8740698947458512	0.18221899515084916	1.1559759596011316
0.8998666666666668	0.9121135819263275	0.18497124429066525	1.1328178337453543
0.9331999999999998	0.9495676517893323	0.18349870807994217	1.1668539755697123
0.9665222222222224	0.9897974350533252	0.18115976719250093	1.1990091500593096
0.9998555555555554	1.0290916419623413	0.17554630906264124	1.176953093275242
1.033177777777778	1.0669824843388924	0.16712612186785225	1.192067508587009
1.0665111111111114	1.1067444794253967	0.15870593467306304	1.3277180898944418
1.0998333333333334	1.1530555089967371	0.14654344205836767	1.3746847957508457
1.1331666666666669	1.1946886567931947	0.13297758491120726	1.3695158448775648
1.1664888888888891	1.2391285336545819	0.11613721052162884	1.3700911357616719
1.1998222222222221	1.280293893273551	0.10116798884200384	1.4759532455825235
1.233155555555556	1.3317505927972626	0.0829242499199605	NaN
